,Customer_ID,Customer_Name,Country,City,Age,Signup_Date,Customer_Segment,Annual_Spend_DKK,Orders,Email,Active
0,10029,Elias Hussein,Denmark,Aarhus,51,2026-12-06,Basic,11882.96,10,user10029@example.com,Yes
1,10219,Elias Holm,Germany,,,2025-04-17,Standard,6609.73,27,user10219@example.com,Yes
2,10060,Sofia Petersen,Denmark,Odense,26,2026-04-29,Standard,12872.17,33,user10060@example.com,Yes
3,10032,Sofia Rossi,Germany,Berlin,54,2025-11-10,Standard,,17,user10032@example.com,Yes
4,10251,Mathias Poulsen,Sweden,Stockholm,28,2024-02-25,Premium,9641.62,12,user10251@example.com,No
5,10472,Daniel Martin,Denmark,Aalborg,43,2025-08-06,Premium,2541.67,16,user10472@example.com,Yes
6,10103,Mathias Poulsen,Denmark,Copenhagen,29,2024-05-04,Standard,17827.26,20,user10103@example.com,Yes
7,10439,  Emma Jensen ,Sweden,Gothenburg,33,2026-05-20,Basic,2421.67,28,user10439@example.com,Yes
8,10487,Lucas Kristensen,Denmark,Odense,27,2024-07-12,Standard,9325.31,25,user10487@example.com,No
9,10643,Nora Eriksson,Denmark,Odense,66,2025-01-27,Standard,9933.59,18,user10643@example.com,Yes
10,10195,Emily Wilson,Denmark,Copenhagen,21,2026-04-06,Standard,8684.79,31,user10195@example.com,No
11,10194,Emil Johansson,Norway,Bergen,46,2024-07-17,Basic,11823.53,25,user10194@example.com,Yes
12,10420,Amina Hassan,Germany,Hamburg,58,2024-07-14,Standard,13996.86,15,user10420@example.com,Yes
13,10422,Lucas Garcia,Denmark,,25,2024-03-26,Standard,,18,user10422@example.com,N
14,10167,Noah Khan,Norway,Bergen,37,2025-08-07,Standard,3089.42,3,user10167@example.com,Yes
15,10205,Yasmin Ahmed,Denmark,Odense,27,2026-06-01,Standard,17898.44,9,,Yes
16,10448,Daniel Martin,Sweden,Malmö,59,2025-06-01,Premium,23978.06,2,user10448@example.com,Yes
17,10443,Maya Lindberg,Sweden,Stockholm,,2024-06-24,Standard,11016.63,18,user10443@example.com,Yes
18,10572,Ida Sørensen,Norway,Oslo,68,2024-10-01,Standard,24899.3,16,user10572@example.com,YES
19,10623,Leo Wagner,Germany,Berlin,59,2026-02-17,Basic,,25,user10623@example.com,Yes
20,10522,Elena Müller,Denmark,Aarhus,71,2024-10-24,Basic,3082.47,17,user10522@example.com,Yes
21,10465,Yasmin Ahmed,Denmark,Copenhagen,56,2025-10-14,Standard,4706.87,2,user10465@example.com,Yes
22,10373,Laura Thomsen,Denmark,Copenhagen,50,,Standard,18969.47,17,user10373@example.com,yes
23,10636,Freja Møller,Denmark,Odense,48,2025-01-07,Standard,11967.22,27,user10636@example.com,Yes
24,10078,Elena Müller,Sweden,Gothenburg,65,2024-08-07,Standard,16280.63,5,user10078@example.com,Yes
25,10390,Oliver Hansen,Norway,Oslo,41,2025-11-07,Premium,7077.11,30,user10390@example.com,Yes
26,10549,Amina Hassan,Norway,Oslo,71,2024-10-01,Basic,14033.73,4,user10549@example.com,Yes
27,10017,Sofia Rossi,Denmark,Copenhagen,71,2025-10-26,Standard,11278.94,27,user10017@example.com,Yes
28,10375,Sofia Rossi,Denmark,Odense,18,2026-01-19,Standard,,11,user10375@example.com,Yes
29,10452,Victor Lindström,Germany,Berlin,27,2024-07-26,Basic,999999.0,15,user10452@example.com,Yes
30,10128,Amira Khalil,Denmark,Copenhagen,20,2025-08-06,Premium,14331.71,8,user10128@example.com,Yes
31,10236,Mads Nielsen,Norway,Oslo,47,2024-01-25,Premium,14764.76,16,user10236@example.com,Yes
32,10533,Yasmin Ahmed,Denmark,Aarhus,59,2024-04-04,Premium,7498.83,33,user10533@example.com,Yes
33,10647,Freja Møller,Denmark,Odense,59,2025-04-24,Premium,8601.54,16,user10647@example.com,Yes
34,10387,Oscar Berg,Sweden,Stockholm,58,2025-01-05,Basic,14145.06,30,user10387@example.com,Yes
35,10515,Victor Lindström,Denmark,Copenhagen,37,2025-06-01,Standard,4897.39,7,user10515@example.com,No
36,10022,Laura Thomsen,Denmark,Aalborg,39,2025-05-01,Basic,12198.48,2,user10022@example.com,Yes
37,10321,Laura Thomsen,Germany,Hamburg,35,2025-12-20,Standard,4147.24,4,user10321@example.com,Yes
38,10426,Daniel Brown,Norway,Bergen,51,2025-01-23,Premium,3998.98,1,user10426@example.com,Yes
39,10216,Adam Hassan,Sweden,Gothenburg,23,2025-05-11,Standard,4500000.0,18,user10216@example.com,No
40,10456,Anna Schmidt,Denmark,Aalborg,43,2025-03-26,Standard,17411.59,9,user10456@example.com,Yes
41,10031,Oscar Berg,Sweden,Stockholm,68,2024-03-19,Basic,19844.84,14,user10031@example.com,Yes
42,10023,Sara Mohamed,Germany,Berlin,23,2025-10-08,Basic,16574.03,21,user10023@example.com,No
43,10139,Anna Schmidt,Norway,,44,2024-09-17,Standard,15041.35,25,user10139@example.com,Yes
44,10245,Alexander Rasmussen,Sweden,Stockholm,42,2026-04-15,Standard,11800.78,18,user10245@example.com,No
45,10340,Laura Thomsen,Germany,Hamburg,27,2026-03-29,Standard,16629.31,29,user10340@example.com,No
46,10147,Adam Hassan,Denmark,Aalborg,30,2025-12-02,Premium,5800.03,23,user10147@example.com,Yes
47,10516,Sofie Larsen,Denmark,Aarhus,44,2025-02-01,Basic,19595.98,25,user10516@example.com,Yes
48,10346,Mathias Poulsen,Norway,Bergen,23,2024-09-17,Premium,4281.33,11,user10346@example.com,Yes
49,10263,Alexander Rasmussen,Denmark,Odense,63,2024-04-25,Basic,10288.84,23,user10263@example.com,Yes
50,10141,Daniel Brown,Denmark,Aalborg,,2024-08-15,Standard,11954.19,29,user10141@example.com,Yes
51,10607,Mathias Poulsen,Norway,Bergen,71,2024-11-19,Premium,8423.5,25,user10607@example.com,Yes
