Customer_ID,Customer_Name,Country,City,Age,Signup_Date,Customer_Segment,Annual_Spend_DKK,Orders,Email,Active
10029,Elias Hussein,Denmark,Aarhus,51.0,2026-06-12,Basic,11882.96,10,user10029@example.com,Yes
10219,Elias Holm,Germany,,,2025-04-17,Standard,6609.73,27,user10219@example.com,Yes
10060,Sofia Petersen,Denmark,Odense,26.0,2026-04-29,Standard,12872.17,33,user10060@example.com,Yes
10032,Sofia Rossi,Germany,Berlin,54.0,10/11/2025,Standard,,17,user10032@example.com,Yes
10251,Mathias Poulsen,Sweden,Stockholm,28.0,2024-02-25,Premium,9641.62,12,user10251@example.com,No
10472,Daniel Martin,Denmark,Aalborg,43.0,2025-06-08,Premium,2541.67,16,user10472@example.com,Yes
10103,Mathias Poulsen,DK, Copenhagen ,29.0,2024-04-05,Standard,"17,827.26 DKK",20,user10103@example.com,Yes
10439,  Emma Jensen ,Sweden,Gothenburg,33.0,2026-05-20,Basic,2421.67,28,user10439@example.com,Yes
10487,Lucas Kristensen,Denmark,Odense,27.0,2024-12-07,Standard,9325.31,25,USER10487@EXAMPLE.COM,No
10643,Nora Eriksson,Denmark,Odense,66.0,2025-01-27,Standard,9933.59,18,user10643@example.com,Yes
10195,Emily Wilson,Denmark,Copenhagen,21.0,06/04/2026,Standard,8684.79,31,user10195@example.com,No
10194,Emil Johansson,Norway,Bergen,46.0,2024-07-17,Basic,11823.53,25,user10194@example.com,Yes
10420,Amina Hassan,Germany,Hamburg,58.0,2024-07-14,Standard,13996.86,15,user10420@example.com,Yes
10422,Lucas Garcia,Denmark,,25.0,2024-03-26,Standard,,18,user10422@example.com,N
10167,Noah Khan,Norway,Bergen,37.0,2025-07-08,Standard,3089.42,3,USER10167@EXAMPLE.COM,Yes
10205,Yasmin Ahmed,Denmark,Odense,27.0,2026-01-06,Standard,17898.44,9,,Yes
10448,Daniel Martin,Sweden,Malmö,59.0,2025-01-06,Premium,23978.06,2,user10448@example.com,Yes
10443,Maya Lindberg,Sweden,Stockholm,,2024-06-24,Standard,11016.63,18,user10443@example.com,Yes
10572,Ida Sørensen,Norway,Oslo,68.0,2024-01-10,Standard,24899.3,16,user10572@example.com,YES
10623,Leo Wagner,Germany,Berlin,59.0,2026-02-17,Basic,,25,user10623@example.com,Yes
10522,Elena Müller,Denmark,Aarhus,71.0,2024-10-24,Basic,3082.47,17,user10522@example.com,Yes
10465,Yasmin Ahmed,Denmark,Copenhagen,56.0,2025-10-14,Standard,"4,706.87 DKK",2,user10465@example.com,Yes
10373,Laura Thomsen,Denmark,København,50.0,unknown,Standard,18969.47,17,user10373@example.com,yes
10636,Freja Møller,Denmark,Odense,48.0,07/01/2025,Standard,11967.22,27,user10636@example.com,Yes
10078,Elena Müller,Sweden,Gothenburg,65.0,2024-07-08,Standard,16280.63,5,user10078@example.com,Yes
10390,Oliver Hansen,Norway,Oslo,41.0,2025-07-11,Premium,"7,077.11 DKK",30,user10390@example.com,Yes
10549,Amina Hassan,Norway,Oslo,71.0,2024-01-10,Basic,14033.73,4,user10549@example.com,Yes
10017,Sofia Rossi,Denmark,Copenhagen,71.0,2025-10-26,Standard,11278.94,27,user10017@example.com,Yes
10375,Sofia Rossi,Denmark,Odense,18.0,2026-01-19,Standard,,11,user10375@example.com,Yes
10452,Victor Lindström,Germany,Berlin,27.0,2024-07-26,Basic,999999,15,user10452@example.com,Yes
10128,Amira Khalil,Denmark,Copenhagen,20.0,2025-06-08,Premium,14331.71,8,user10128@example.com,Yes
10236,Mads Nielsen,Norway,Oslo,47.0,2024-01-25,Premium,14764.76,16,user10236@example.com,Yes
10533,Yasmin Ahmed,Denmark,Aarhus,59.0,2024-04-04,Premium,7498.83,33,user10533@example.com,Yes
10647,Freja Møller,Denmark,Odense,59.0,2025-04-24,Premium,"8,601.54 DKK",16,user10647@example.com,Yes
10387,Oscar Berg,Sweden,Stockholm,58.0,2025-05-01,Basic,14145.06,30,user10387@example.com,Yes
10515,Victor Lindström,Denmark,Copenhagen,37.0,2025-01-06,Standard,4897.39,7,user10515@example.com,No
10022,Laura Thomsen,Denmark,Aalborg,39.0,2025-01-05,Basic,12198.48,2,user10022@example.com,Yes
10321,Laura Thomsen,Germany,Hamburg,35.0,2025-12-20,Standard,4147.24,4,user10321@example.com,Yes
10426,Daniel Brown,Norway,Bergen,51.0,2025-01-23,Premium,3998.98,1,user10426@example.com,Yes
10216,Adam Hassan,Sweden,Gothenburg,23.0,2025-11-05,Standard,4500000,18,user10216@example.com,No
10456,Anna Schmidt,Denmark,Aalborg,43.0,2025-03-26,Standard,17411.59,9,user10456@example.com,Yes
10031,Oscar Berg,Sweden,Stockholm,68.0,2024-03-19,Basic,19844.84,14,user10031@example.com,Yes
10023,Sara Mohamed,Germany,Berlin,23.0,2025-08-10,Basic,16574.03,21,user10023@example.com,No
10139,Anna Schmidt,Norway,,44.0,2024-09-17,Standard,15041.35,25,user10139@example.com,Yes
10245,Alexander Rasmussen,Sweden,Stockholm,42.0,2026-04-15,Standard,11800.78,18,user10245@example.com,No
10340,Laura Thomsen,Germany,Hamburg,27.0,2026-03-29,Standard,16629.31,29,user10340@example.com,No
10147,Adam Hassan,Denmark,Aalborg,30.0,2025-02-12,Premium,5800.03,23,user10147@example.com,Yes
10516,Sofie Larsen,Denmark,Aarhus,44.0,2025-01-02,Basic,19595.98,25,user10516@example.com,Yes
10346,Mathias Poulsen,Norway,Bergen,23.0,2024-09-17,Premium,4281.33,11,user10346@example.com,Yes
10263,Alexander Rasmussen,Denmark,Odense,63.0,2024-04-25,Basic,10288.84,23,user10263@example.com,Yes
10141,Daniel Brown,Denmark,Aalborg,,2024-08-15,Standard,11954.19,29,user10141@example.com,Yes
10607,Mathias Poulsen,Norway,Bergen,71.0,2024-11-19,Premium,8423.5,25,user10607@example.com,Yes
10207,Amira Khalil,Denmark,Copenhagen,33.0,06/11/2025,Premium,8606.0,15,user10207@example.com,Yes
10135,ANNA SCHMIDT,Sweden,Malmö,42.0,2025-12-19,Standard,4515.04,30,user10135@example.com,Yes
10351,Lucas Kristensen,Sweden,Malmö,19.0,2025-02-04, Premium,5247.34,12,user10351@example.com,Yes
10297,Maya Patel,Germany,Berlin,53.0,2025-01-03,Standard,7272.99,14,user10297@example.com,Yes
10371,Elena Müller,Norway,Oslo,51.0,2026-06-15,Premium,8269.2,21,user10371@example.com,Yes
10090,Amira Khalil,Denmark,Copenhagen,71.0,2026-02-19,Basic,5475.26,6,user10090@example.com,Yes
10520,Mathias Poulsen,Norway,Oslo,64.0,2024-10-27,Standard,12340.09,24,user10520@example.com,Yes
10372,Adam Ali,Denmark,Aarhus,20.0,2024-07-19,Premium,14963.57,32,user10372@example.com,Yes
10212,Alexander Rasmussen,Sweden,Malmö,33.0,2026-04-30,Standard,"11,986.96 DKK",17, user10212@example.com ,Yes
10240,Lina Osman,Denmark,Odense,70.0,2025-10-01,Basic,,5,user10240@example.com,Yes
10158,Maya Lindberg,Sweden,Malmö,52.0,28/07/2025,Basic,21241.29,13,user10158@example.com,Yes
10231,Oliver Hansen,Denmark,ODENSE,67.0,2025-12-20,Basic,8577.42,19,user10231@example.com,Yes
10379,Amira Khalil,Denmark,aarhus,33.0,2026-01-30,Standard,13964.99,31,user10379@example.com,No
10165,Nora Eriksson,Denmark,Odense,29.0,2025-06-21,Premium,13650.58,20,user10165@example.com,Yes
10364,ADAM ALI,Denmark,,21.0,07/03/2024,Premium,12534.33,31, user10364@example.com ,Yes
10112,Adam Ali,Denmark,Odense,19.0,2025-11-01,Standard,15809.72,17,user10112@example.com,Yes
10565,Leo Wagner,Sweden,Malmö,24.0,2024-12-10,Standard,12579.08,32,user10565@example.com,Yes
10501,Clara Andersen,Sweden,Gothenburg,37.0,2025-06-07,Standard,13006.26,9,user10501@example.com,No
10431,Daniel Brown,Germany,Hamburg,57.0,30/09/2025,Basic,3178.88,26,user10431@example.com,Yes
10484,Leila Osman,Denmark,Copenhagen,31.0,2026-04-19,Standard,9015.54,22,user10484@example.com,No
10186,Nora Eriksson,Sweden,Gothenburg,24.0,29/06/2025,Standard,"24,080.01 DKK",19,user10186@example.com,Yes
10305,Sofie Larsen,Norway,Oslo,53.0,2025-01-08,Basic,11603.01,28,user10305@example.com,Yes
10124,Maya Patel,Denmark,Copenhagen,38.0,2025-03-28,Basic,9967.02,13,user10124@example.com,Yes
10374,Elena Müller,Denmark,Odense,70.0,31/01/2025,Premium,16683.09,18,user10374@example.com,No
10286,Anna Schmidt,DK,Aalborg,26.0,2024-03-07,Basic,18259.74,27,user10286@example.com,Yes
10179,Alexander Rasmussen,Germany,Hamburg,38.0,2025-12-02,Premium,10693.98,7,user10179@example.com,Yes
10315,Clara Andersen,DENMARK,Aarhus,39.0,04/12/2025,Standard,5122.23,6,user10315@example.com,Yes
10475,Elena Müller,Denmark,Copenhagen,49.0,2024-01-08,Basic,"16,429.84 DKK",23,user10475@example.com,Yes
10645,Daniel Martin,Sweden,Malmö,57.0,2025-07-01,Standard,16313.16,15,USER10645@EXAMPLE.COM,Yes
10569,mads nielsen,Denmark,Aarhus,62.0,2025-07-18,Standard,11018.15,24,user10569@example.com,N
10353,Clara Andersen,Denmark,Odense,68.0,2024-05-19,Standard,,18,user10353@example.com,Yes
10174,Ida Sørensen,Germany,Berlin,56.0,2024-12-10,Premium,"11,045.05 DKK",21,user10174@example.com,Yes
10356,Alexander Rasmussen,Denmark,Aarhus,71.0,2024-05-01,Standard,11295.62,11,user10356@example.com,Yes
10272,Sofia Petersen,Denmark,Aarhus,70.0,2024-10-25,Standard,7712.7,14,user10272@example.com,Yes
10401,Laura Thomsen,Denmark,Odense,,2024-04-18,Premium,3777.89,14,user10401@example.com,Yes
10416,Victor Lindström,Denmark,Aarhus,42.0,2025-02-09,Standard,11979.03,25,user10416@example.com,Yes
10408,Amira Khalil,Norway,Oslo,40.0,09/04/2026,PREMIUM,"6,524.31 DKK",18,user10408@example.com,No
10430,Sofie Larsen,Norway,Bergen,66.0,22/10/2025,Standard,6142.97,30,user10430@example.com,Yes
10345,William Pedersen,Norway,,62.0,2024-08-11,Standard,4761.34,7,user10345@example.com,Yes
10043,Sofie Larsen,Sweden,Malmö,28.0,2024-08-02,Standard,9457.17,29,user10043@example.com,Yes
